transaction_id,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,hour,amount,channel,card_present,merchant_category,distance_from_home_km,distance_from_last_txn_km,ratio_to_median_price,is_foreign_transaction,is_fraud
19499,0.2176,-0.5393,-0.1048,1.1204,0.9087,-0.8946,-0.3932,-0.3268,-0.3977,-1.4868,10,3.13,online,0,online_retail,3.47,5.34,1.809,0,0
12112,0.4221,-0.6966,-0.4914,0.154,2.3373,0.5685,2.2663,0.2424,1.4695,-0.0364,6,259.31,card_present,1,entertainment,19.04,1.05,0.657,0,0
6066,-0.0071,1.0533,-1.6274,-0.1023,0.0051,1.3974,-0.9928,-0.9981,-1.1273,-0.1464,9,9.87,online,0,travel,22.13,3.28,1.409,0,0
38695,0.7546,-0.9521,-0.0003,-0.5449,-1.1621,0.039,-1.1459,-0.0495,0.8019,-0.475,15,51.77,card_present,1,travel,7.65,2.4,1.121,0,0
13472,-1.2734,0.8438,-0.4448,-0.4375,1.1452,0.7879,-0.5059,0.6648,0.614,-0.4528,11,89.73,online,0,utilities,12.78,2.17,1.125,0,0
30019,-0.7805,1.333,-1.1427,-0.3888,-0.9078,1.4754,0.2127,-0.8808,0.4804,-0.8921,16,4.87,card_present,1,dining,1.94,2.05,0.973,0,0
18184,-1.396,0.1805,0.2423,1.2255,-0.6701,1.5797,0.0785,1.0322,-0.1444,-0.1025,7,16.59,online,0,cash_advance,7.43,2.3,0.928,0,0
31166,1.7315,-0.7812,0.707,-0.3386,0.9995,-0.3387,0.4729,-1.7708,-0.5591,-0.5609,19,15.29,online,0,cash_advance,12.81,1.18,1.007,0,0
16759,-0.2081,-1.2237,-0.6579,-1.1198,-0.8757,0.4014,0.2168,-0.7643,1.0079,-0.1236,15,16.86,phone_order,0,online_retail,3.56,0.93,0.92,0,0
11811,0.1284,0.789,-0.8125,-0.9543,1.7065,-1.7761,-0.0339,-0.6888,0.8974,-0.1388,14,21.02,card_present,1,entertainment,1.08,1.42,1.014,0,0
4658,0.6249,1.3398,0.5833,-0.1811,-0.6848,-1.5269,0.2306,0.1538,-0.2931,-0.3428,16,23.17,phone_order,0,dining,6.72,0.74,2.387,0,0
27624,-1.7995,0.6894,-0.2092,-0.1426,-1.084,-1.8981,1.7257,-0.0125,-1.0083,-0.9234,18,107.75,card_present,1,travel,10.82,3.95,1.303,0,0
6073,1.4244,0.0136,1.472,0.1932,-0.27,0.09,2.2037,0.948,-1.4882,-1.3651,7,50.4,online,0,jewelry,2.58,7.92,0.925,0,0
16275,1.2528,-0.587,-0.087,1.189,2.4535,1.3477,0.1647,-0.3855,-0.743,-0.6022,20,25.25,card_present,1,grocery,6.29,,0.728,0,0
35769,1.0222,1.2372,-0.6776,1.0445,-0.7728,1.7176,-0.3754,1.062,0.2892,-0.7793,22,13.9,online,0,utilities,8.08,10.22,0.613,0,0
37670,-0.6918,-0.7065,2.319,1.5386,0.0475,-0.2222,-1.5598,-0.6881,3.0983,-0.0781,16,16.13,online,0,electronics,3.76,5.46,0.736,0,0
27754,-0.4821,-0.0186,0.0524,-0.2283,-1.1938,-0.5467,-1.4564,-0.6923,0.4107,0.6134,20,15.5,card_present,1,cash_advance,1.34,0.42,0.694,0,0
23572,-1.6253,0.78,-1.5617,0.376,-1.3019,0.6697,0.5736,0.2161,-0.8463,1.5148,22,10.17,card_present,1,fuel,5.04,8.05,1.605,0,0
49436,-2.0075,-0.177,0.2529,-0.2995,0.3803,-0.1344,-0.2065,-0.0766,-0.0462,-0.3546,15,12.66,card_present,1,travel,2.88,2.68,0.754,0,0
4885,0.0688,-0.7812,3.1348,-0.781,-0.3813,0.0645,0.5017,0.2423,-0.2892,-1.5237,12,7.94,online,0,jewelry,4.37,14.09,1.194,0,0
50694,-0.8094,1.5688,-0.8492,0.3971,0.266,0.4873,-0.8709,-0.0163,0.4811,-0.0898,6,5.86,phone_order,0,fuel,20.3,2.68,0.509,0,0
59975,0.3244,-1.1472,0.1165,0.0264,-1.429,0.8934,-0.1249,-0.8912,-0.3909,-0.1472,9,312.35,online,0,electronics,12.76,11.12,1.419,1,0
27675,-0.6601,-0.1469,0.2174,0.9096,-0.7825,-2.9074,1.0054,0.2166,-0.2778,0.0895,7,137.85,online,0,fuel,9.53,0.85,1.736,0,0
14432,-0.7949,0.4662,-0.2958,-1.2183,-0.5453,0.0274,-0.7066,-0.6265,-0.2446,0.6378,10,78.83,online,0,fuel,18.16,2.21,0.708,0,0
32193,-0.8756,-1.8222,-1.2334,-2.1396,0.2477,0.0538,-0.4007,0.2723,-2.1545,0.122,16,25.41,card_present,1,fuel,10.28,1.77,1.569,0,0
58768,1.144,-0.4243,0.2404,-1.2338,-2.0157,-0.2714,-0.9642,0.0899,0.4319,-0.595,15,16.02,online,0,fuel,1.03,0.45,1.996,0,0
27784,0.2984,-0.1997,-1.8427,-1.4938,-1.3428,1.269,-0.805,-0.2589,-0.5916,-0.5733,4,37.41,online,0,dining,28.89,2.81,2.645,0,0
32980,0.3541,1.7059,-0.6148,1.1489,-0.0241,0.4763,-0.5954,-0.6277,2.4577,0.771,15,11.81,online,0,travel,6.58,6.37,0.867,0,0
6943,0.3701,0.2922,-0.6758,0.7773,0.436,-0.2339,0.9039,0.6541,-0.2598,0.9739,22,24.32,card_present,1,grocery,0.4,7.09,0.961,0,0
32390,0.5412,0.9839,1.162,-0.5727,0.4876,0.0051,-0.0678,1.5308,0.1158,0.9601,14,68.71,phone_order,0,dining,0.05,2.44,3.064,0,0
9562,-1.2773,-0.7132,-0.3874,0.4392,-0.3996,-1.0152,-0.3422,0.2074,-0.673,0.9202,4,53.22,online,0,entertainment,21.79,19.25,1.517,0,0
55,-1.2198,-1.3294,-0.0774,-1.6013,-1.3037,0.1953,-0.9186,0.5025,-0.2034,1.1776,6,4.51,card_present,1,utilities,9.52,7.34,1.01,0,0
50077,0.8861,0.639,0.989,-0.4009,0.0808,1.032,0.6464,-0.8941,0.9007,-1.1825,23,98.05,card_present,1,cash_advance,0.79,18.15,1.103,0,0
55645,-0.4588,-0.5909,1.2854,-1.1434,-1.2484,1.6211,1.0711,-0.4433,-0.6271,1.0313,10,4.24,online,0,grocery,2.81,1.72,1.152,0,0
16522,1.415,-0.379,-0.5276,0.305,0.6117,-0.4205,0.8474,-1.097,0.5456,-0.3475,6,9.62,card_present,1,online_retail,0.89,5.02,1.29,0,0
50905,0.6393,1.36,0.2239,-2.1542,-1.1049,0.9843,-0.9165,-0.9313,0.3619,0.9621,18,92.19,online,0,travel,15.23,1.05,1.156,0,0
31869,-1.0783,0.834,1.9817,-0.833,-1.4205,-0.8194,1.9252,0.6295,0.0617,-1.7657,4,21.19,card_present,1,dining,2.54,0.07,0.684,0,0
40481,0.0749,0.1558,-0.2498,-0.6734,0.2558,0.2473,1.9391,-1.7326,-0.2967,1.4643,11,5.4,card_present,1,jewelry,29.82,13.16,1.084,0,0
39167,-0.8565,-1.5266,0.2745,0.1001,1.3681,1.0636,-0.9866,0.5134,0.6911,-1.3171,10,4.66,card_present,1,grocery,3.31,0.95,1.03,0,0
39855,-0.2949,0.858,0.018,-1.8584,-0.6753,1.0923,0.2306,0.0551,0.4448,-0.1734,10,184.97,card_present,1,jewelry,0.15,2.18,0.942,0,0
18160,1.2238,0.4434,-0.1777,0.0819,-1.665,0.3805,0.4713,-0.6673,1.6338,0.7589,1,39.09,online,0,entertainment,11.61,0.79,0.685,0,0
20729,-0.4206,0.0028,0.4817,1.6852,0.8267,-0.7081,-0.4674,0.3227,0.6172,0.5142,9,129.85,online,0,dining,0.88,5.52,0.564,0,0
26938,1.5626,-0.5097,-0.8588,-0.2706,1.8414,-0.8401,-1.0199,2.0116,0.8334,1.2317,5,14.78,online,0,fuel,5.89,5.65,0.674,0,0
24379,-1.185,0.4569,-1.202,-0.2752,-1.1492,-0.2064,1.9163,-0.3217,-1.2304,0.2432,0,26.89,online,0,online_retail,1.29,0.37,1.992,1,0
15727,-0.057,-0.2902,-0.4791,1.2784,-1.3468,1.3255,-0.6881,1.1232,-0.2952,-1.4174,22,15.8,card_present,1,fuel,0.92,3.34,1.797,1,0
23273,-0.3,-1.8984,0.7346,1.7829,-0.6596,-0.1231,1.8644,1.4011,0.8011,-0.3335,10,131.91,online,0,grocery,0.3,7.11,0.953,0,0
45082,-1.1761,0.0874,1.2351,-0.7853,0.3272,-0.1133,0.8659,1.2056,-0.0537,0.6803,22,111.62,card_present,1,jewelry,8.15,3.6,1.129,0,0
13997,-0.2385,1.1751,1.1529,-0.5992,0.2391,0.3532,1.4714,1.8893,-1.3008,0.0194,0,41.84,card_present,1,,15.24,5.82,1.576,0,0
17874,1.69,1.2735,0.2636,0.5926,1.8281,-0.4382,0.6038,1.2536,-0.2626,-0.5474,15,306.52,online,0,utilities,2.94,1.36,0.562,0,0
7181,1.1537,-0.1717,-1.1033,-0.439,0.2186,0.8282,0.4337,0.7396,0.4942,1.2704,7,65.34,card_present,1,dining,7.94,6.98,0.575,0,0
59558,1.5805,-0.42,-0.1417,0.5636,0.2173,0.1426,-0.5548,0.1617,0.0534,-0.5669,15,72.33,online,0,fuel,0.02,1.64,1.237,0,0
35706,-0.9324,0.0848,-0.3722,0.1771,1.6394,-0.0322,1.1251,1.0668,-0.1145,-0.3769,23,55.17,card_present,1,utilities,6.32,2.54,0.924,0,0
14304,0.8281,-1.568,-0.6878,-0.9139,0.2595,0.3713,1.8119,0.4823,0.6308,-1.8905,13,15.69,phone_order,0,entertainment,12.14,1.53,1.098,0,0
35831,0.368,3.1362,-0.125,0.2811,0.0799,1.386,0.535,0.6155,-0.8274,-1.4136,7,32.43,online,0,dining,15.63,0.64,0.656,0,0
33875,0.6334,-0.0714,1.5367,0.3784,-0.2403,0.8457,0.5363,-0.1512,-0.1494,-2.7488,1,45.37,card_present,1,electronics,15.45,5.44,1.011,0,0
29276,-1.3872,-0.5472,1.5724,-0.3268,1.404,1.6732,-0.8098,1.471,-0.666,1.3755,22,45.92,card_present,1,travel,0.45,2.23,0.961,0,0
477,0.4781,-0.7411,-2.0374,0.1413,1.1546,-1.1893,-0.0583,0.4628,0.526,-0.1029,2,120.73,card_present,1,travel,0.24,1.11,0.638,1,0
43413,-0.0929,-1.0014,1.2053,-0.1951,0.1652,1.1074,1.4199,-1.6799,0.1811,-0.4448,6,19.5,card_present,1,grocery,0.1,2.18,0.889,0,0
8271,0.3582,-1.4825,-0.7069,0.1683,-0.044,-0.8172,-1.1375,-0.6932,-0.3172,1.0348,10,10.47,card_present,1,travel,1.03,3.96,0.824,0,0
14895,0.5631,-0.2186,-1.1064,-1.5381,-0.3817,0.1899,-0.1109,0.589,0.1251,1.1047,21,168.0,card_present,1,grocery,10.17,0.19,1.272,0,0
44677,0.6579,0.7411,0.1624,-1.6264,2.0476,-0.7661,1.37,0.4937,-0.4448,1.2302,16,269.61,online,0,travel,14.61,2.68,1.028,0,0
37264,0.1217,0.3064,1.2467,-0.975,-0.1522,0.6452,-0.5082,0.1942,1.5089,-0.7032,14,48.61,card_present,1,grocery,5.05,10.36,0.595,0,0
12571,-1.1784,-0.7138,-0.7928,0.6561,0.8295,0.3111,0.612,-0.2187,2.5065,1.224,19,39.54,card_present,1,entertainment,7.38,1.3,1.227,1,0
53690,1.2976,1.8185,-1.9442,0.1218,0.8105,0.5913,-0.3247,0.8721,0.3323,-0.3915,5,126.59,card_present,1,,11.12,5.99,1.119,0,0
51441,0.9049,-0.1757,-0.4446,-1.8646,1.3905,-1.7867,-0.4188,-0.1182,0.0654,-0.3469,13,9.27,card_present,1,online_retail,7.33,1.68,0.798,0,0
30682,1.4674,2.4656,1.2428,0.6116,0.2661,-1.6783,0.3496,-0.1984,-0.5931,0.3471,15,135.74,online,0,grocery,2.09,7.61,0.92,0,0
25114,-0.3007,-0.3945,0.189,-0.0683,-0.9591,0.4242,-1.004,1.1448,0.0774,-0.0236,5,35.38,card_present,1,electronics,0.49,0.53,0.708,0,0
14625,-2.1297,-1.6307,-1.0498,-0.5465,0.1488,-0.2641,1.1202,-0.1803,1.5004,1.3929,3,5.87,card_present,1,entertainment,2.23,1.05,0.935,0,0
54323,-1.2654,0.5658,-1.0679,0.6818,0.0243,0.4731,-1.6243,0.3875,0.2818,-0.4072,15,3.53,phone_order,0,dining,0.55,7.43,1.09,0,0
32495,0.7493,0.4041,-1.4487,0.8727,0.9652,-0.6362,-0.036,0.8958,0.7425,0.6425,20,20.4,phone_order,0,electronics,28.91,4.61,1.131,0,0
20770,1.0148,0.8247,0.3246,-0.4726,0.6455,0.2917,0.3222,-0.827,1.7294,-1.3716,7,30.11,online,0,utilities,3.91,10.08,0.689,0,0
16339,1.3959,-1.627,-0.3663,-1.043,-0.1206,-0.3721,2.1945,-0.7879,0.1171,0.6127,11,24.04,online,0,electronics,3.48,2.17,1.041,0,0
28753,0.0236,1.9766,1.3424,1.7212,-0.035,0.6221,-1.1132,1.0134,0.3858,0.2129,7,7.16,card_present,1,entertainment,0.44,8.14,1.278,0,0
36513,-0.0997,0.5523,-2.8098,-0.5101,-0.0646,-1.5554,2.3969,1.0274,0.7951,1.7241,22,6.14,online,0,jewelry,30.59,3.76,0.743,0,0
1254,-1.2772,-0.7078,1.0276,0.861,-1.0172,0.9254,-0.4712,0.1135,0.3148,-0.4082,5,2.56,phone_order,0,fuel,3.34,0.25,1.755,0,0
20780,0.0652,-0.1849,1.8431,-1.634,-0.3428,-0.239,-0.7128,1.0383,1.0154,1.7104,8,23.28,online,0,online_retail,2.4,0.01,1.636,0,0
13294,1.0048,-0.7518,-0.4958,-1.0113,0.8661,-1.3644,1.4661,-2.2525,0.2114,-0.9837,11,14.35,phone_order,0,,2.14,0.21,0.928,0,0
57276,-0.5267,-1.1081,-1.2884,-0.7945,0.4126,-1.6665,-1.09,2.1451,0.1834,-0.4808,17,32.48,online,0,jewelry,14.22,0.77,1.554,0,0
51871,-0.1824,0.7294,1.053,-0.8177,1.1959,0.4355,0.6625,-0.3628,0.2198,0.3243,16,98.18,online,0,dining,2.47,7.53,2.147,1,0
5990,0.0848,-1.661,-0.3075,0.4544,-1.7788,1.3182,0.2948,0.1652,-0.1982,0.1406,18,7.18,card_present,1,dining,0.02,5.38,1.014,0,0
4564,0.5562,1.2785,-1.6086,-0.3312,-1.8591,-0.4957,1.3797,0.3694,0.9432,-0.1688,20,38.83,card_present,1,cash_advance,15.52,16.02,1.572,0,0
33511,-0.3754,0.6532,0.1721,1.9123,0.0868,-1.6225,0.9982,-0.2687,1.6529,1.1923,15,2.48,online,0,fuel,3.14,5.51,1.238,0,0
45966,-0.8178,-1.3212,0.4134,1.44,-0.2362,-0.5858,1.0145,1.6581,-0.816,-0.3094,0,25.41,online,0,grocery,0.13,1.33,0.98,0,0
14321,-0.4765,-1.5543,-0.2734,0.9797,-1.0202,0.473,-2.7661,-0.5546,-0.3974,0.4948,12,9.57,card_present,1,entertainment,1.82,4.02,0.745,0,0
50999,-1.2773,-0.4383,-0.0575,-1.8176,0.7106,-0.0897,-0.1816,-0.2443,-1.3666,-2.7717,12,23.68,card_present,1,electronics,5.35,4.92,1.521,0,0
55234,0.222,0.8144,1.1718,0.4989,-0.1826,-0.1249,0.3186,0.5282,-0.2493,0.4018,22,7.38,card_present,1,online_retail,9.95,10.78,1.835,0,0
1181,-0.7362,0.3031,0.676,-0.2005,-1.2028,0.6762,0.1932,0.6325,-0.7442,-0.0065,0,57.16,card_present,1,jewelry,9.82,3.6,0.947,0,0
39468,-0.5553,0.6444,-0.8503,-0.4953,0.5481,0.5823,0.67,0.6789,-1.0573,-0.3124,18,33.43,online,0,jewelry,5.03,1.63,0.707,1,0
35432,-1.9911,-1.4189,1.4218,0.5261,-1.7588,0.0699,0.9656,-1.5143,-0.7661,-0.5259,9,15.57,card_present,1,cash_advance,1.18,1.89,1.466,0,0
11496,1.5941,0.1692,-0.1105,-0.342,0.1885,-0.3615,-0.1291,1.6019,0.3095,-0.6713,7,44.85,card_present,1,travel,1.75,5.04,0.769,1,0
45301,-1.1792,0.8425,1.0547,-0.4366,1.2925,0.2563,0.358,-0.7824,0.1285,-0.6575,5,25.5,online,0,fuel,0.72,0.16,1.136,0,0
4919,0.121,-0.2412,0.0942,-0.7735,0.7743,-1.1426,0.7186,-0.1934,0.0067,0.6618,20,9.59,online,0,dining,4.39,5.9,1.084,0,0
46765,0.1298,0.7506,-0.5347,0.0348,-1.309,0.9401,-0.2965,-1.0696,0.0193,-1.8139,2,14.91,online,0,entertainment,5.52,0.26,1.107,0,0
44902,-0.8033,0.336,-0.5095,1.4287,0.0292,2.0096,0.2852,0.637,-0.8695,0.3836,19,47.75,card_present,1,online_retail,5.05,0.53,0.501,0,0
21857,0.0136,0.4919,-0.3307,0.5471,-0.4867,0.6839,1.2215,0.5374,0.6647,-1.621,3,34.81,online,0,grocery,14.55,3.35,0.68,0,0
26411,-0.2268,0.5492,1.8699,0.6684,-1.3012,-1.9982,0.1815,0.4555,-0.0306,-0.2961,22,39.25,card_present,1,entertainment,24.31,16.97,1.071,0,0
12891,-0.9278,0.8228,0.0848,-0.7822,-0.6166,1.9096,-0.9984,0.4067,0.0162,0.7099,16,4.47,card_present,1,dining,9.76,0.98,1.229,0,0
33284,-0.0106,1.3727,-1.5941,-0.9465,-1.0,0.2011,-0.5203,0.0902,0.522,0.6021,19,23.34,card_present,1,electronics,10.19,3.89,0.507,0,0
4504,-0.5368,-0.7219,-0.6063,0.0325,-1.3062,-0.9471,-1.4341,0.9165,-0.1823,0.7442,15,8.24,online,0,entertainment,12.58,3.99,0.904,0,0
38387,-0.6372,-0.0399,-0.2153,1.1254,-1.0123,2.0644,0.5865,1.011,-1.8057,1.173,6,25.01,online,0,utilities,8.21,4.2,2.117,0,0
50393,-0.8791,0.2846,-0.1268,0.7082,0.8385,1.4136,0.8633,-0.7988,0.2569,0.2035,10,3.72,card_present,1,jewelry,3.23,1.03,0.868,0,0
32191,1.3761,0.7766,-0.0553,-0.1829,0.0404,-0.479,-2.2519,-1.6256,-0.0044,-1.7143,22,35.01,online,0,online_retail,8.55,1.58,1.239,0,0
18959,-1.6919,0.2716,-0.659,-0.5148,1.3794,-0.3723,-2.1366,0.1701,0.6788,0.2047,12,16.77,card_present,1,electronics,1.17,1.77,1.043,0,0
15542,-0.8623,-1.765,0.7972,0.3142,1.0041,0.3638,0.9954,0.2716,0.2115,-0.9201,19,33.28,card_present,1,travel,11.62,10.21,0.583,0,0
28527,-0.4314,-0.3453,0.2363,-0.1542,-0.9601,-0.5383,-2.3408,0.0784,0.5181,0.0911,4,14.64,card_present,1,grocery,9.17,0.17,0.913,0,0
27681,-2.85,-1.3073,2.7802,0.0107,1.4344,-0.3122,0.7701,0.0961,-0.579,0.985,14,22.23,phone_order,0,electronics,4.48,0.49,1.073,0,0
2248,0.7338,0.0273,-0.5206,0.9009,1.7137,1.0828,-2.0392,0.3999,1.1236,-0.1152,8,4.72,card_present,1,grocery,1.9,0.86,1.147,0,0
213,-1.1138,-0.74,-0.2211,-0.1567,1.0978,-0.0096,0.6998,1.3864,-0.8271,-0.4427,12,7.88,phone_order,0,electronics,9.11,6.1,1.948,0,0
58045,0.2573,-1.5663,-0.3308,1.3055,-1.0955,-0.5007,-1.2608,0.3985,-1.4118,-0.8703,7,2.96,card_present,1,cash_advance,1.0,4.94,1.013,0,0
38698,1.3408,-0.0398,-1.2123,-1.7702,1.5401,-0.6907,0.557,0.1408,1.7596,0.0161,5,11.28,online,0,electronics,4.82,1.37,0.712,0,0
54422,0.0163,-0.149,-0.8152,0.7549,-2.0439,1.3623,-0.7371,-0.2965,1.3389,0.2606,4,15.69,card_present,1,online_retail,1.51,6.14,0.818,0,0
27249,1.042,1.4965,-0.1376,0.9091,-0.3171,1.0399,-1.9433,0.0052,0.6459,0.9078,6,6.19,card_present,1,jewelry,33.04,4.12,1.475,0,0
38115,0.1603,1.4433,1.3139,-0.5427,-0.1906,-0.3077,0.0917,-0.0737,0.4797,0.7027,1,90.53,card_present,1,travel,1.48,1.65,0.726,0,0
43407,-0.4347,-1.2986,-0.7505,1.0387,0.2642,-1.31,0.3983,-0.076,-0.9971,0.7704,6,31.12,card_present,1,electronics,33.11,15.47,0.911,0,0
6248,-1.0428,0.9518,-0.5275,0.3826,-0.5538,-0.7566,0.4965,0.4105,-1.8578,0.1766,14,14.02,card_present,1,grocery,7.34,7.05,1.311,0,0
20213,-0.5249,-0.3875,-0.3931,0.5026,-2.2526,0.171,-0.2622,0.1372,-0.1693,-0.1415,11,6.61,online,0,electronics,20.53,0.16,0.69,0,0
13642,0.0826,-0.4804,1.4094,0.7382,-1.1293,0.557,1.0277,0.4862,1.2855,-0.3333,21,65.88,card_present,1,electronics,0.24,20.83,0.904,0,0
3503,-0.7085,-0.9966,-0.9718,0.9613,-0.5134,-0.617,0.7748,1.028,-0.0633,0.5244,0,8.99,online,0,cash_advance,32.37,5.99,3.117,0,1
20575,-0.065,0.3483,1.7441,-0.0337,2.4993,0.4555,1.1315,0.7291,0.0327,0.1812,7,66.77,card_present,1,cash_advance,2.23,0.57,0.861,0,0
54986,-0.802,-0.09,-0.6057,0.7616,-0.5352,-0.3762,-0.2846,0.6781,1.045,0.2421,11,14.67,card_present,1,electronics,9.15,7.3,0.499,0,0
33274,-2.0467,-0.0818,-1.5401,0.9817,-0.0952,1.8259,0.0175,-1.0862,-0.1285,0.5018,19,12.79,card_present,1,cash_advance,3.57,2.04,1.979,0,0
11668,-0.7514,-0.7985,-0.2031,-1.2523,0.2592,-0.0487,0.0156,0.2445,-0.912,0.1277,8,70.68,card_present,1,cash_advance,5.9,0.37,1.335,0,0
8529,-0.6835,0.2355,-0.7931,-0.452,-0.7374,-0.8822,0.3518,1.555,-1.8893,-1.4305,6,23.87,card_present,1,entertainment,10.58,4.11,1.0,0,0
43995,0.0532,-0.2064,0.3514,1.0007,-1.1107,-0.6959,-0.3318,-1.1272,0.5624,1.6236,20,14.44,online,0,fuel,26.31,3.72,0.933,0,0
37751,-1.6385,0.6805,1.0317,-1.8548,0.6447,0.5194,1.0982,-0.0321,1.3547,1.796,11,39.13,online,0,online_retail,1.31,3.63,0.616,0,0
48977,-0.3045,-0.2536,0.7579,1.7529,-1.3343,0.8045,0.7254,-0.5028,-0.811,-0.4788,11,162.12,card_present,1,travel,5.29,0.62,0.724,0,0
46169,0.2297,-0.5532,1.2754,0.3553,0.7409,-0.8596,-0.3448,0.8347,0.9771,0.0374,10,120.31,card_present,1,dining,4.36,1.65,1.437,0,0
46040,0.0713,0.7628,-0.4073,-1.1161,-0.1793,-0.9554,0.914,0.2369,1.0783,-0.3071,7,5.22,online,0,online_retail,10.78,2.78,1.284,0,0
44395,0.069,-0.1689,-0.4805,0.3608,-2.4415,1.8702,0.2303,1.0303,-1.524,-0.7348,11,23.37,online,0,entertainment,0.7,4.65,1.031,0,0
18366,-0.6843,0.4438,-0.0292,0.2705,-0.1758,-1.0554,0.7577,-0.4362,-0.4653,-0.7457,1,7.37,card_present,1,online_retail,4.67,15.9,1.302,0,0
56170,-0.8168,-0.5973,0.7156,-1.0774,0.0917,1.5431,-0.4993,0.3129,0.9336,1.3668,4,51.71,card_present,1,cash_advance,5.07,4.92,0.85,1,0
31177,0.3629,0.3361,-0.7771,-0.7325,1.3024,0.1569,-0.3258,-1.8889,-0.072,0.3465,4,52.76,online,0,electronics,2.6,0.73,0.627,0,0
49156,-0.8682,-0.4163,0.7893,1.6696,-2.0774,-0.3474,-1.551,-0.643,-0.0174,0.3054,21,137.02,card_present,1,grocery,2.95,2.89,0.453,0,0
5978,-1.3877,-0.8163,1.0643,2.0844,1.708,-2.1394,0.3678,0.3171,-0.1489,0.6483,22,53.3,online,0,online_retail,8.58,17.02,0.592,0,0
58214,1.8613,-0.9003,-0.6933,-0.6296,0.713,-1.0512,-0.6088,1.1724,2.0764,0.4896,2,85.56,online,0,grocery,33.85,6.11,1.021,0,0
46073,-0.1815,0.5351,-1.4637,0.8231,0.6466,-0.6654,-0.8837,0.1483,-0.2787,-0.9482,14,28.82,card_present,1,travel,16.96,2.46,1.12,0,0
44466,-0.7935,1.5802,0.7465,0.3744,-0.8465,2.117,0.3369,-1.9924,-0.9441,-0.3077,16,6.66,online,0,grocery,0.4,1.79,1.02,0,0
47456,-2.5276,2.8853,-2.511,-0.0026,-1.6871,-0.0219,-0.3708,1.2048,2.0435,0.4232,22,38.94,online,0,travel,27.4,31.5,2.165,1,1
17096,-0.8768,-0.9465,0.0211,-0.1413,1.5029,0.1077,1.117,0.8694,1.7304,0.7617,17,7.78,online,0,entertainment,0.58,7.5,1.088,0,0
47694,2.137,0.8549,-0.091,0.3378,1.5713,0.7078,2.3127,0.0073,-0.8494,1.4004,23,13.79,card_present,1,travel,1.2,4.63,0.993,0,0
57866,0.775,0.6168,-1.3918,0.3006,-0.1159,-1.0298,0.3402,-1.2381,-0.3711,0.9746,6,76.18,card_present,1,cash_advance,1.05,1.83,0.865,0,0
